kemendagri_kode_provinsi;kemendagri_nama_provinsi;kemendagri_kode_kabupaten_kota;kemendagri_nama_kabupaten_kota;tahun;kategori_area;luas_areal;satuan
11;Aceh;11.1;Kabupaten Aceh Singkil;2019;Tanaman menghasilkan;22778.6;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2019;Tanaman menghasilkan;1920;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2019;Tanaman menghasilkan;16740;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2019;Tanaman menghasilkan;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2019;Tanaman menghasilkan;7842;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2019;Tanaman menghasilkan;37271.58;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2019;Tanaman menghasilkan;17467;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2019;Tanaman menghasilkan;208;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2019;Tanaman menghasilkan;350;Hektare
11;Aceh;11.71;Kota Banda Aceh;2019;Tanaman menghasilkan;0;Hektare
11;Aceh;11.72;Kota Sabang;2019;Tanaman menghasilkan;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2019;Tanaman menghasilkan;111;Hektare
11;Aceh;11.74;Kota Langsa;2019;Tanaman menghasilkan;387;Hektare
11;Aceh;11.75;Kota Subulussalam;2019;Tanaman menghasilkan;11878;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2019;Tanaman rusak;207;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2019;Tanaman rusak;229;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2019;Tanaman rusak;1541;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2019;Tanaman rusak;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2019;Tanaman rusak;539.53;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2019;Tanaman rusak;156;Hektare
11;Aceh;11.07;Kabupaten Pidie;2019;Tanaman rusak;35;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2019;Tanaman rusak;1246;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2019;Tanaman rusak;609;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2019;Tanaman rusak;3905.6;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2019;Tanaman rusak;134;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2019;Tanaman rusak;531;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2019;Tanaman rusak;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2019;Tanaman rusak;2692;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2019;Tanaman rusak;4093.52;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2019;Tanaman rusak;740;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2019;Tanaman rusak;392;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2019;Tanaman rusak;9.5;Hektare
11;Aceh;11.71;Kota Banda Aceh;2019;Tanaman rusak;0;Hektare
11;Aceh;11.72;Kota Sabang;2019;Tanaman rusak;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2019;Tanaman rusak;0;Hektare
11;Aceh;11.74;Kota Langsa;2019;Tanaman rusak;3;Hektare
11;Aceh;11.75;Kota Subulussalam;2019;Tanaman rusak;214;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Tanaman belum menghasilkan;1187;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2020;Tanaman belum menghasilkan;601;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2020;Tanaman belum menghasilkan;11396;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Tanaman belum menghasilkan;5614.32;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2020;Tanaman belum menghasilkan;845;Hektare
11;Aceh;11.07;Kabupaten Pidie;2020;Tanaman belum menghasilkan;13;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2020;Tanaman belum menghasilkan;4729;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2020;Tanaman belum menghasilkan;1276;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2020;Tanaman belum menghasilkan;6413;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2020;Tanaman belum menghasilkan;2076;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2020;Tanaman belum menghasilkan;1733.19;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2020;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2020;Tanaman belum menghasilkan;4906;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2020;Tanaman belum menghasilkan;10780.12;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2020;Tanaman belum menghasilkan;3121;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2020;Tanaman belum menghasilkan;575;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2020;Tanaman belum menghasilkan;412.5;Hektare
11;Aceh;11.71;Kota Banda Aceh;2020;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.72;Kota Sabang;2020;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2020;Tanaman belum menghasilkan;93;Hektare
11;Aceh;11.74;Kota Langsa;2020;Tanaman belum menghasilkan;1.62;Hektare
11;Aceh;11.75;Kota Subulussalam;2020;Tanaman belum menghasilkan;7250;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2020;Tanaman menghasilkan;9992;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2020;Tanaman menghasilkan;1828;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2020;Tanaman menghasilkan;13425;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2020;Tanaman menghasilkan;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2020;Tanaman menghasilkan;4725.4;Hektare
